r_bohr,u_c
0.15000,-5.88188047e-01
0.15200,-6.16162061e-01
0.15400,-6.43798697e-01
0.15600,-6.71090207e-01
0.15800,-6.98029446e-01
0.16000,-7.24609845e-01
0.16200,-7.50825388e-01
0.16400,-7.76670586e-01
0.16600,-8.02140456e-01
0.16800,-8.27230499e-01
0.17000,-8.51936680e-01
0.17200,-8.76255406e-01
0.17400,-9.00183508e-01
0.17600,-9.23718222e-01
0.17800,-9.46857171e-01
0.18000,-9.69598348e-01
0.18200,-9.91940097e-01
0.18400,-1.01388110e+00
0.18600,-1.03542036e+00
0.18800,-1.05655719e+00
0.19000,-1.07729119e+00
0.19200,-1.09762224e+00
0.19400,-1.11755049e+00
0.19600,-1.13707632e+00
0.19800,-1.15620039e+00
0.20000,-1.17492354e+00
0.20200,-1.19324687e+00
0.20400,-1.21117166e+00
0.20600,-1.22869940e+00
0.20800,-1.24583173e+00
0.21000,-1.26257052e+00
0.21200,-1.27891776e+00
0.21400,-1.29487561e+00
0.21600,-1.31044639e+00
0.21800,-1.32563254e+00
0.22000,-1.34043665e+00
0.22200,-1.35486141e+00
0.22400,-1.36890965e+00
0.22600,-1.38258429e+00
0.22800,-1.39588837e+00
0.23000,-1.40882501e+00
0.23200,-1.42139742e+00
0.23400,-1.43360891e+00
0.23600,-1.44546284e+00
0.23800,-1.45696266e+00
0.24000,-1.46811188e+00
0.24200,-1.47891408e+00
0.24400,-1.48937288e+00
0.24600,-1.49949196e+00
0.24800,-1.50927506e+00
0.25000,-1.51872593e+00
0.25200,-1.52784839e+00
0.25400,-1.53664627e+00
0.25600,-1.54512345e+00
0.25800,-1.55328383e+00
0.26000,-1.56113132e+00
0.26200,-1.56866987e+00
0.26400,-1.57590344e+00
0.26600,-1.58283599e+00
0.26800,-1.58947152e+00
0.27000,-1.59581400e+00
0.27200,-1.60186745e+00
0.27400,-1.60763585e+00
0.27600,-1.61312320e+00
0.27800,-1.61833351e+00
0.28000,-1.62327076e+00
0.28200,-1.62793894e+00
0.28400,-1.63234204e+00
0.28600,-1.63648402e+00
0.28800,-1.64036884e+00
0.29000,-1.64400044e+00
0.29200,-1.64738276e+00
0.29400,-1.65051970e+00
0.29600,-1.65341517e+00
0.29800,-1.65607303e+00
0.30000,-1.65849714e+00
0.30200,-1.66069135e+00
0.30400,-1.66265945e+00
0.30600,-1.66440523e+00
0.30800,-1.66593246e+00
0.31000,-1.66724487e+00
0.31200,-1.66834618e+00
0.31400,-1.66924006e+00
0.31600,-1.66993016e+00
0.31800,-1.67042012e+00
0.32000,-1.67071353e+00
0.32200,-1.67081395e+00
0.32400,-1.67072491e+00
0.32600,-1.67044992e+00
0.32800,-1.66999245e+00
0.33000,-1.66935593e+00
0.33200,-1.66854377e+00
0.33400,-1.66755935e+00
0.33600,-1.66640599e+00
0.33800,-1.66508701e+00
0.34000,-1.66360567e+00
0.34200,-1.66196522e+00
0.34400,-1.66016884e+00
0.34600,-1.65821972e+00
0.34800,-1.65612097e+00
0.35000,-1.65387571e+00
0.35200,-1.65148698e+00
0.35400,-1.64895781e+00
0.35600,-1.64629121e+00
0.35800,-1.64349012e+00
0.36000,-1.64055746e+00
0.36200,-1.63749611e+00
0.36400,-1.63430894e+00
0.36600,-1.63099875e+00
0.36800,-1.62756832e+00
0.37000,-1.62402039e+00
0.37200,-1.62035769e+00
0.37400,-1.61658287e+00
0.37600,-1.61269857e+00
0.37800,-1.60870742e+00
0.38000,-1.60461196e+00
0.38200,-1.60041474e+00
0.38400,-1.59611826e+00
0.38600,-1.59172499e+00
0.38800,-1.58723736e+00
0.39000,-1.58265776e+00
0.39200,-1.57798857e+00
0.39400,-1.57323212e+00
0.39600,-1.56839070e+00
0.39800,-1.56346658e+00
0.40000,-1.55846200e+00
0.40200,-1.55337915e+00
0.40400,-1.54822020e+00
0.40600,-1.54298730e+00
0.40800,-1.53768254e+00
0.41000,-1.53230801e+00
0.41200,-1.52686573e+00
0.41400,-1.52135772e+00
0.41600,-1.51578597e+00
0.41800,-1.51015242e+00
0.42000,-1.50445899e+00
0.42200,-1.49870757e+00
0.42400,-1.49290003e+00
0.42600,-1.48703819e+00
0.42800,-1.48112385e+00
0.43000,-1.47515879e+00
0.43200,-1.46914474e+00
0.43400,-1.46308344e+00
0.43600,-1.45697656e+00
0.43800,-1.45082577e+00
0.44000,-1.44463269e+00
0.44200,-1.43839894e+00
0.44400,-1.43212609e+00
0.44600,-1.42581569e+00
0.44800,-1.41946928e+00
0.45000,-1.41308835e+00
0.45200,-1.40667437e+00
0.45400,-1.40022881e+00
0.45600,-1.39375307e+00
0.45800,-1.38724855e+00
0.46000,-1.38071665e+00
0.46200,-1.37415869e+00
0.46400,-1.36757602e+00
0.46600,-1.36096993e+00
0.46800,-1.35434170e+00
0.47000,-1.34769260e+00
0.47200,-1.34102384e+00
0.47400,-1.33433665e+00
0.47600,-1.32763221e+00
0.47800,-1.32091170e+00
0.48000,-1.31417624e+00
0.48200,-1.30742698e+00
0.48400,-1.30066500e+00
0.48600,-1.29389140e+00
0.48800,-1.28710722e+00
0.49000,-1.28031353e+00
0.49200,-1.27351132e+00
0.49400,-1.26670161e+00
0.49600,-1.25988537e+00
0.49800,-1.25306357e+00
0.50000,-1.24623715e+00
0.50200,-1.23940703e+00
0.50400,-1.23257412e+00
0.50600,-1.22573930e+00
0.50800,-1.21890345e+00
0.51000,-1.21206740e+00
0.51200,-1.20523201e+00
0.51400,-1.19839808e+00
0.51600,-1.19156641e+00
0.51800,-1.18473779e+00
0.52000,-1.17791297e+00
0.52200,-1.17109272e+00
0.52400,-1.16427775e+00
0.52600,-1.15746880e+00
0.52800,-1.15066655e+00
0.53000,-1.14387170e+00
0.53200,-1.13708491e+00
0.53400,-1.13030685e+00
0.53600,-1.12353815e+00
0.53800,-1.11677944e+00
0.54000,-1.11003133e+00
0.54200,-1.10329441e+00
0.54400,-1.09656928e+00
0.54600,-1.08985650e+00
0.54800,-1.08315663e+00
0.55000,-1.07647021e+00
0.55200,-1.06979777e+00
0.55400,-1.06313983e+00
0.55600,-1.05649689e+00
0.55800,-1.04986944e+00
0.56000,-1.04325797e+00
0.56200,-1.03666294e+00
0.56400,-1.03008481e+00
0.56600,-1.02352402e+00
0.56800,-1.01698099e+00
0.57000,-1.01045616e+00
0.57200,-1.00394994e+00
0.57400,-9.97462708e-01
0.57600,-9.90994867e-01
0.57800,-9.84546791e-01
0.58000,-9.78118846e-01
0.58200,-9.71711387e-01
0.58400,-9.65324760e-01
0.58600,-9.58959301e-01
0.58800,-9.52615335e-01
0.59000,-9.46293179e-01
0.59200,-9.39993140e-01
0.59400,-9.33715515e-01
0.59600,-9.27460592e-01
0.59800,-9.21228650e-01
0.60000,-9.15019959e-01
0.60200,-9.08834780e-01
0.60400,-9.02673367e-01
0.60600,-8.96535964e-01
0.60800,-8.90422807e-01
0.61000,-8.84334124e-01
0.61200,-8.78270134e-01
0.61400,-8.72231051e-01
0.61600,-8.66217077e-01
0.61800,-8.60228411e-01
0.62000,-8.54265241e-01
0.62200,-8.48327749e-01
0.62400,-8.42416110e-01
0.62600,-8.36530492e-01
0.62800,-8.30671056e-01
0.63000,-8.24837955e-01
0.63200,-8.19031337e-01
0.63400,-8.13251343e-01
0.63600,-8.07498107e-01
0.63800,-8.01771756e-01
0.64000,-7.96072414e-01
0.64200,-7.90400195e-01
0.64400,-7.84755210e-01
0.64600,-7.79137562e-01
0.64800,-7.73547350e-01
0.65000,-7.67984666e-01
0.65200,-7.62449597e-01
0.65400,-7.56942225e-01
0.65600,-7.51462627e-01
0.65800,-7.46010873e-01
0.66000,-7.40587030e-01
0.66200,-7.35191160e-01
0.66400,-7.29823317e-01
0.66600,-7.24483554e-01
0.66800,-7.19171917e-01
0.67000,-7.13888449e-01
0.67200,-7.08633187e-01
0.67400,-7.03406165e-01
0.67600,-6.98207411e-01
0.67800,-6.93036951e-01
0.68000,-6.87894805e-01
0.68200,-6.82780989e-01
0.68400,-6.77695517e-01
0.68600,-6.72638396e-01
0.68800,-6.67609632e-01
0.69000,-6.62609227e-01
0.69200,-6.57637177e-01
0.69400,-6.52693478e-01
0.69600,-6.47778119e-01
0.69800,-6.42891088e-01
0.70000,-6.38032368e-01
0.70200,-6.33201941e-01
0.70400,-6.28399785e-01
0.70600,-6.23625873e-01
0.70800,-6.18880176e-01
0.71000,-6.14162665e-01
0.71200,-6.09473304e-01
0.71400,-6.04812055e-01
0.71600,-6.00178880e-01
0.71800,-5.95573736e-01
0.72000,-5.90996576e-01
0.72200,-5.86447355e-01
0.72400,-5.81926021e-01
0.72600,-5.77432522e-01
0.72800,-5.72966802e-01
0.73000,-5.68528806e-01
0.73200,-5.64118472e-01
0.73400,-5.59735740e-01
0.73600,-5.55380545e-01
0.73800,-5.51052822e-01
0.74000,-5.46752503e-01
0.74200,-5.42479518e-01
0.74400,-5.38233795e-01
0.74600,-5.34015260e-01
0.74800,-5.29823839e-01
0.75000,-5.25659453e-01
0.75200,-5.21522025e-01
0.75400,-5.17411473e-01
0.75600,-5.13327715e-01
0.75800,-5.09270668e-01
0.76000,-5.05240246e-01
0.76200,-5.01236363e-01
0.76400,-4.97258931e-01
0.76600,-4.93307859e-01
0.76800,-4.89383058e-01
0.77000,-4.85484435e-01
0.77200,-4.81611897e-01
0.77400,-4.77765348e-01
0.77600,-4.73944694e-01
0.77800,-4.70149837e-01
0.78000,-4.66380680e-01
0.78200,-4.62637122e-01
0.78400,-4.58919065e-01
0.78600,-4.55226406e-01
0.78800,-4.51559044e-01
0.79000,-4.47916876e-01
0.79200,-4.44299798e-01
0.79400,-4.40707705e-01
0.79600,-4.37140492e-01
0.79800,-4.33598052e-01
0.80000,-4.30080277e-01
0.80200,-4.26587062e-01
0.80400,-4.23118295e-01
0.80600,-4.19673870e-01
0.80800,-4.16253675e-01
0.81000,-4.12857600e-01
0.81200,-4.09485535e-01
0.81400,-4.06137367e-01
0.81600,-4.02812984e-01
0.81800,-3.99512275e-01
0.82000,-3.96235125e-01
0.82200,-3.92981421e-01
0.82400,-3.89751049e-01
0.82600,-3.86543896e-01
0.82800,-3.83359845e-01
0.83000,-3.80198782e-01
0.83200,-3.77060592e-01
0.83400,-3.73945159e-01
0.83600,-3.70852366e-01
0.83800,-3.67782097e-01
0.84000,-3.64734237e-01
0.84200,-3.61708667e-01
0.84400,-3.58705271e-01
0.84600,-3.55723932e-01
0.84800,-3.52764533e-01
0.85000,-3.49826955e-01
0.85200,-3.46911082e-01
0.85400,-3.44016795e-01
0.85600,-3.41143978e-01
0.85800,-3.38292511e-01
0.86000,-3.35462276e-01
0.86200,-3.32653157e-01
0.86400,-3.29865034e-01
0.86600,-3.27097790e-01
0.86800,-3.24351306e-01
0.87000,-3.21625465e-01
0.87200,-3.18920149e-01
0.87400,-3.16235239e-01
0.87600,-3.13570618e-01
0.87800,-3.10926167e-01
0.88000,-3.08301770e-01
0.88200,-3.05697307e-01
0.88400,-3.03112663e-01
0.88600,-3.00547719e-01
0.88800,-2.98002358e-01
0.89000,-2.95476463e-01
0.89200,-2.92969917e-01
0.89400,-2.90482603e-01
0.89600,-2.88014405e-01
0.89800,-2.85565206e-01
0.90000,-2.83134889e-01
0.90200,-2.80723340e-01
0.90400,-2.78330441e-01
0.90600,-2.75956079e-01
0.90800,-2.73600136e-01
0.91000,-2.71262498e-01
0.91200,-2.68943051e-01
0.91400,-2.66641680e-01
0.91600,-2.64358270e-01
0.91800,-2.62092707e-01
0.92000,-2.59844879e-01
0.92200,-2.57614671e-01
0.92400,-2.55401970e-01
0.92600,-2.53206664e-01
0.92800,-2.51028641e-01
0.93000,-2.48867787e-01
0.93200,-2.46723992e-01
0.93400,-2.44597144e-01
0.93600,-2.42487132e-01
0.93800,-2.40393845e-01
0.94000,-2.38317173e-01
0.94200,-2.36257006e-01
0.94400,-2.34213234e-01
0.94600,-2.32185749e-01
0.94800,-2.30174440e-01
0.95000,-2.28179201e-01
0.95200,-2.26199922e-01
0.95400,-2.24236496e-01
0.95600,-2.22288816e-01
0.95800,-2.20356775e-01
0.96000,-2.18440267e-01
0.96200,-2.16539186e-01
0.96400,-2.14653425e-01
0.96600,-2.12782881e-01
0.96800,-2.10927447e-01
0.97000,-2.09087021e-01
0.97200,-2.07261497e-01
0.97400,-2.05450774e-01
0.97600,-2.03654746e-01
0.97800,-2.01873313e-01
0.98000,-2.00106372e-01
0.98200,-1.98353822e-01
0.98400,-1.96615560e-01
0.98600,-1.94891488e-01
0.98800,-1.93181503e-01
0.99000,-1.91485507e-01
0.99200,-1.89803401e-01
0.99400,-1.88135084e-01
0.99600,-1.86480460e-01
0.99800,-1.84839430e-01
1.00000,-1.83211896e-01
1.00200,-1.81597762e-01
1.00400,-1.79996931e-01
1.00600,-1.78409307e-01
1.00800,-1.76834795e-01
1.01000,-1.75273300e-01
1.01200,-1.73724726e-01
1.01400,-1.72188981e-01
1.01600,-1.70665969e-01
1.01800,-1.69155599e-01
1.02000,-1.67657778e-01
1.02200,-1.66172413e-01
1.02400,-1.64699413e-01
1.02600,-1.63238686e-01
1.02800,-1.61790143e-01
1.03000,-1.60353692e-01
1.03200,-1.58929244e-01
1.03400,-1.57516710e-01
1.03600,-1.56116001e-01
1.03800,-1.54727030e-01
1.04000,-1.53349707e-01
1.04200,-1.51983946e-01
1.04400,-1.50629661e-01
1.04600,-1.49286764e-01
1.04800,-1.47955171e-01
1.05000,-1.46634796e-01
1.05200,-1.45325554e-01
1.05400,-1.44027360e-01
1.05600,-1.42740132e-01
1.05800,-1.41463785e-01
1.06000,-1.40198238e-01
1.06200,-1.38943407e-01
1.06400,-1.37699210e-01
1.06600,-1.36465567e-01
1.06800,-1.35242397e-01
1.07000,-1.34029618e-01
1.07200,-1.32827152e-01
1.07400,-1.31634919e-01
1.07600,-1.30452840e-01
1.07800,-1.29280836e-01
1.08000,-1.28118830e-01
1.08200,-1.26966743e-01
1.08400,-1.25824500e-01
1.08600,-1.24692023e-01
1.08800,-1.23569237e-01
1.09000,-1.22456066e-01
1.09200,-1.21352434e-01
1.09400,-1.20258268e-01
1.09600,-1.19173493e-01
1.09800,-1.18098036e-01
1.10000,-1.17031823e-01
1.10200,-1.15974781e-01
1.10400,-1.14926839e-01
1.10600,-1.13887924e-01
1.10800,-1.12857965e-01
1.11000,-1.11836892e-01
1.11200,-1.10824634e-01
1.11400,-1.09821121e-01
1.11600,-1.08826283e-01
1.11800,-1.07840053e-01
1.12000,-1.06862360e-01
1.12200,-1.05893137e-01
1.12400,-1.04932317e-01
1.12600,-1.03979832e-01
1.12800,-1.03035615e-01
1.13000,-1.02099601e-01
1.13200,-1.01171723e-01
1.13400,-1.00251916e-01
1.13600,-9.93401151e-02
1.13800,-9.84362557e-02
1.14000,-9.75402739e-02
1.14200,-9.66521059e-02
1.14400,-9.57716887e-02
1.14600,-9.48989594e-02
1.14800,-9.40338559e-02
1.15000,-9.31763161e-02
1.15200,-9.23262787e-02
1.15400,-9.14836827e-02
1.15600,-9.06484674e-02
1.15800,-8.98205727e-02
1.16000,-8.89999389e-02
1.16200,-8.81865066e-02
1.16400,-8.73802170e-02
1.16600,-8.65810115e-02
1.16800,-8.57888322e-02
1.17000,-8.50036212e-02
1.17200,-8.42253215e-02
1.17400,-8.34538761e-02
1.17600,-8.26892287e-02
1.17800,-8.19313231e-02
1.18000,-8.11801039e-02
1.18200,-8.04355158e-02
1.18400,-7.96975040e-02
1.18600,-7.89660140e-02
1.18800,-7.82409918e-02
1.19000,-7.75223838e-02
1.19200,-7.68101368e-02
1.19400,-7.61041980e-02
1.19600,-7.54045148e-02
1.19800,-7.47110351e-02
1.20000,-7.40237074e-02
1.20200,-7.33424803e-02
1.20400,-7.26673028e-02
1.20600,-7.19981244e-02
1.20800,-7.13348949e-02
1.21000,-7.06775645e-02
1.21200,-7.00260839e-02
1.21400,-6.93804038e-02
1.21600,-6.87404757e-02
1.21800,-6.81062511e-02
1.22000,-6.74776822e-02
1.22200,-6.68547212e-02
1.22400,-6.62373211e-02
1.22600,-6.56254348e-02
1.22800,-6.50190158e-02
1.23000,-6.44180180e-02
1.23200,-6.38223954e-02
1.23400,-6.32321027e-02
1.23600,-6.26470947e-02
1.23800,-6.20673265e-02
1.24000,-6.14927538e-02
1.24200,-6.09233324e-02
1.24400,-6.03590185e-02
1.24600,-5.97997688e-02
1.24800,-5.92455400e-02
1.25000,-5.86962894e-02
1.25200,-5.81519747e-02
1.25400,-5.76125536e-02
1.25600,-5.70779844e-02
1.25800,-5.65482257e-02
1.26000,-5.60232362e-02
1.26200,-5.55029752e-02
1.26400,-5.49874021e-02
1.26600,-5.44764768e-02
1.26800,-5.39701594e-02
1.27000,-5.34684104e-02
1.27200,-5.29711904e-02
1.27400,-5.24784606e-02
1.27600,-5.19901823e-02
1.27800,-5.15063172e-02
1.28000,-5.10268273e-02
1.28200,-5.05516748e-02
1.28400,-5.00808223e-02
1.28600,-4.96142326e-02
1.28800,-4.91518690e-02
1.29000,-4.86936949e-02
1.29200,-4.82396739e-02
1.29400,-4.77897703e-02
1.29600,-4.73439482e-02
1.29800,-4.69021723e-02
1.30000,-4.64644075e-02
1.30200,-4.60306189e-02
1.30400,-4.56007720e-02
1.30600,-4.51748325e-02
1.30800,-4.47527664e-02
1.31000,-4.43345400e-02
1.31200,-4.39201199e-02
1.31400,-4.35094727e-02
1.31600,-4.31025658e-02
1.31800,-4.26993663e-02
1.32000,-4.22998419e-02
1.32200,-4.19039604e-02
1.32400,-4.15116901e-02
1.32600,-4.11229993e-02
1.32800,-4.07378567e-02
1.33000,-4.03562311e-02
1.33200,-3.99780918e-02
1.33400,-3.96034081e-02
1.33600,-3.92321497e-02
1.33800,-3.88642865e-02
1.34000,-3.84997887e-02
1.34200,-3.81386267e-02
1.34400,-3.77807711e-02
1.34600,-3.74261929e-02
1.34800,-3.70748631e-02
1.35000,-3.67267531e-02
1.35200,-3.63818345e-02
1.35400,-3.60400791e-02
1.35600,-3.57014591e-02
1.35800,-3.53659466e-02
1.36000,-3.50335144e-02
1.36200,-3.47041349e-02
1.36400,-3.43777814e-02
1.36600,-3.40544270e-02
1.36800,-3.37340450e-02
1.37000,-3.34166092e-02
1.37200,-3.31020935e-02
1.37400,-3.27904718e-02
1.37600,-3.24817186e-02
1.37800,-3.21758083e-02
1.38000,-3.18727157e-02
1.38200,-3.15724157e-02
1.38400,-3.12748834e-02
1.38600,-3.09800943e-02
1.38800,-3.06880238e-02
1.39000,-3.03986478e-02
1.39200,-3.01119422e-02
1.39400,-2.98278833e-02
1.39600,-2.95464473e-02
1.39800,-2.92676109e-02
1.40000,-2.89913509e-02
1.40200,-2.87176442e-02
1.40400,-2.84464679e-02
1.40600,-2.81777995e-02
1.40800,-2.79116165e-02
1.41000,-2.76478966e-02
1.41200,-2.73866178e-02
1.41400,-2.71277581e-02
1.41600,-2.68712960e-02
1.41800,-2.66172098e-02
1.42000,-2.63654782e-02
1.42200,-2.61160802e-02
1.42400,-2.58689947e-02
1.42600,-2.56242009e-02
1.42800,-2.53816782e-02
1.43000,-2.51414062e-02
1.43200,-2.49033647e-02
1.43400,-2.46675335e-02
1.43600,-2.44338927e-02
1.43800,-2.42024227e-02
1.44000,-2.39731037e-02
1.44200,-2.37459164e-02
1.44400,-2.35208416e-02
1.44600,-2.32978602e-02
1.44800,-2.30769533e-02
1.45000,-2.28581021e-02
1.45200,-2.26412880e-02
1.45400,-2.24264927e-02
1.45600,-2.22136978e-02
1.45800,-2.20028852e-02
1.46000,-2.17940371e-02
1.46200,-2.15871355e-02
1.46400,-2.13821629e-02
1.46600,-2.11791017e-02
1.46800,-2.09779346e-02
1.47000,-2.07786445e-02
1.47200,-2.05812142e-02
1.47400,-2.03856270e-02
1.47600,-2.01918660e-02
1.47800,-1.99999146e-02
1.48000,-1.98097564e-02
1.48200,-1.96213752e-02
1.48400,-1.94347546e-02
1.48600,-1.92498787e-02
1.48800,-1.90667316e-02
1.49000,-1.88852975e-02
1.49200,-1.87055609e-02
1.49400,-1.85275062e-02
1.49600,-1.83511182e-02
1.49800,-1.81763815e-02
1.50000,-1.80032812e-02
1.50200,-1.78318023e-02
1.50400,-1.76619299e-02
1.50600,-1.74936495e-02
1.50800,-1.73269464e-02
1.51000,-1.71618062e-02
1.51200,-1.69982146e-02
1.51400,-1.68361575e-02
1.51600,-1.66756208e-02
1.51800,-1.65165906e-02
1.52000,-1.63590531e-02
1.52200,-1.62029946e-02
1.52400,-1.60484015e-02
1.52600,-1.58952604e-02
1.52800,-1.57435581e-02
1.53000,-1.55932812e-02
1.53200,-1.54444167e-02
1.53400,-1.52969516e-02
1.53600,-1.51508731e-02
1.53800,-1.50061685e-02
1.54000,-1.48628250e-02
1.54200,-1.47208303e-02
1.54400,-1.45801718e-02
1.54600,-1.44408373e-02
1.54800,-1.43028146e-02
1.55000,-1.41660917e-02
1.55200,-1.40306565e-02
1.55400,-1.38964972e-02
1.55600,-1.37636020e-02
1.55800,-1.36319593e-02
1.56000,-1.35015575e-02
1.56200,-1.33723852e-02
1.56400,-1.32444311e-02
1.56600,-1.31176838e-02
1.56800,-1.29921323e-02
1.57000,-1.28677655e-02
1.57200,-1.27445724e-02
1.57400,-1.26225423e-02
1.57600,-1.25016643e-02
1.57800,-1.23819278e-02
1.58000,-1.22633223e-02
1.58200,-1.21458373e-02
1.58400,-1.20294623e-02
1.58600,-1.19141872e-02
1.58800,-1.18000018e-02
1.59000,-1.16868959e-02
1.59200,-1.15748596e-02
1.59400,-1.14638829e-02
1.59600,-1.13539560e-02
1.59800,-1.12450692e-02
1.60000,-1.11372128e-02
1.60200,-1.10303773e-02
1.60400,-1.09245532e-02
1.60600,-1.08197310e-02
1.60800,-1.07159016e-02
1.61000,-1.06130557e-02
1.61200,-1.05111840e-02
1.61400,-1.04102777e-02
1.61600,-1.03103277e-02
1.61800,-1.02113250e-02
1.62000,-1.01132610e-02
1.62200,-1.00161268e-02
1.62400,-9.91991386e-03
1.62600,-9.82461353e-03
1.62800,-9.73021733e-03
1.63000,-9.63671684e-03
1.63200,-9.54410372e-03
1.63400,-9.45236969e-03
1.63600,-9.36150656e-03
1.63800,-9.27150621e-03
1.64000,-9.18236060e-03
1.64200,-9.09406174e-03
1.64400,-9.00660174e-03
1.64600,-8.91997276e-03
1.64800,-8.83416706e-03
1.65000,-8.74917693e-03
1.65200,-8.66499477e-03
1.65400,-8.58161302e-03
1.65600,-8.49902420e-03
1.65800,-8.41722090e-03
1.66000,-8.33619577e-03
1.66200,-8.25594155e-03
1.66400,-8.17645101e-03
1.66600,-8.09771701e-03
1.66800,-8.01973247e-03
1.67000,-7.94249037e-03
1.67200,-7.86598377e-03
1.67400,-7.79020577e-03
1.67600,-7.71514955e-03
1.67800,-7.64080834e-03
1.68000,-7.56717545e-03
1.68200,-7.49424423e-03
1.68400,-7.42200811e-03
1.68600,-7.35046056e-03
1.68800,-7.27959512e-03
1.69000,-7.20940541e-03
1.69200,-7.13988506e-03
1.69400,-7.07102781e-03
1.69600,-7.00282742e-03
1.69800,-6.93527773e-03
1.70000,-6.86837262e-03
1.70200,-6.80210604e-03
1.70400,-6.73647198e-03
1.70600,-6.67146451e-03
1.70800,-6.60707773e-03
1.71000,-6.54330580e-03
1.71200,-6.48014294e-03
1.71400,-6.41758342e-03
1.71600,-6.35562157e-03
1.71800,-6.29425175e-03
1.72000,-6.23346840e-03
1.72200,-6.17326599e-03
1.72400,-6.11363906e-03
1.72600,-6.05458217e-03
1.72800,-5.99608997e-03
1.73000,-5.93815713e-03
1.73200,-5.88077837e-03
1.73400,-5.82394848e-03
1.73600,-5.76766228e-03
1.73800,-5.71191464e-03
1.74000,-5.65670048e-03
1.74200,-5.60201477e-03
1.74400,-5.54785252e-03
1.74600,-5.49420879e-03
1.74800,-5.44107869e-03
1.75000,-5.38845736e-03
1.75200,-5.33634000e-03
1.75400,-5.28472186e-03
1.75600,-5.23359821e-03
1.75800,-5.18296438e-03
1.76000,-5.13281574e-03
1.76200,-5.08314770e-03
1.76400,-5.03395573e-03
1.76600,-4.98523532e-03
1.76800,-4.93698201e-03
1.77000,-4.88919137e-03
1.77200,-4.84185904e-03
1.77400,-4.79498068e-03
1.77600,-4.74855198e-03
1.77800,-4.70256870e-03
1.78000,-4.65702661e-03
1.78200,-4.61192153e-03
1.78400,-4.56724933e-03
1.78600,-4.52300590e-03
1.78800,-4.47918719e-03
1.79000,-4.43578916e-03
1.79200,-4.39280783e-03
1.79400,-4.35023925e-03
1.79600,-4.30807950e-03
1.79800,-4.26632471e-03
1.80000,-4.22497104e-03
1.80200,-4.18401467e-03
1.80400,-4.14345185e-03
1.80600,-4.10327883e-03
1.80800,-4.06349191e-03
1.81000,-4.02408744e-03
1.81200,-3.98506177e-03
1.81400,-3.94641131e-03
1.81600,-3.90813250e-03
1.81800,-3.87022180e-03
1.82000,-3.83267573e-03
1.82200,-3.79549080e-03
1.82400,-3.75866359e-03
1.82600,-3.72219070e-03
1.82800,-3.68606877e-03
1.83000,-3.65029444e-03
1.83200,-3.61486442e-03
1.83400,-3.57977544e-03
1.83600,-3.54502423e-03
1.83800,-3.51060761e-03
1.84000,-3.47652236e-03
1.84200,-3.44276536e-03
1.84400,-3.40933346e-03
1.84600,-3.37622357e-03
1.84800,-3.34343263e-03
1.85000,-3.31095760e-03
1.85200,-3.27879546e-03
1.85400,-3.24694325e-03
1.85600,-3.21539800e-03
1.85800,-3.18415679e-03
1.86000,-3.15321671e-03
1.86200,-3.12257491e-03
1.86400,-3.09222854e-03
1.86600,-3.06217477e-03
1.86800,-3.03241082e-03
1.87000,-3.00293392e-03
