K_bohr_inv,f_c
3.4200,-1.78014596e-01
3.4400,-1.78136291e-01
3.4600,-1.78198428e-01
3.4800,-1.78202604e-01
3.5000,-1.78150390e-01
3.5200,-1.78043334e-01
3.5400,-1.77882961e-01
3.5600,-1.77670773e-01
3.5800,-1.77408248e-01
3.6000,-1.77096840e-01
3.6200,-1.76737981e-01
3.6400,-1.76333078e-01
3.6600,-1.75883516e-01
3.6800,-1.75390654e-01
3.7000,-1.74855831e-01
3.7200,-1.74280361e-01
3.7400,-1.73665535e-01
3.7600,-1.73012621e-01
3.7800,-1.72322864e-01
3.8000,-1.71597487e-01
3.8200,-1.70837689e-01
3.8400,-1.70044647e-01
3.8600,-1.69219517e-01
3.8800,-1.68363431e-01
3.9000,-1.67477500e-01
3.9200,-1.66562813e-01
3.9400,-1.65620437e-01
3.9600,-1.64651419e-01
3.9800,-1.63656783e-01
4.0000,-1.62637534e-01
4.0200,-1.61594654e-01
4.0400,-1.60529106e-01
4.0600,-1.59441832e-01
4.0800,-1.58333755e-01
4.1000,-1.57205777e-01
4.1200,-1.56058782e-01
4.1400,-1.54893632e-01
4.1600,-1.53711172e-01
4.1800,-1.52512228e-01
4.2000,-1.51297606e-01
4.2200,-1.50068097e-01
4.2400,-1.48824469e-01
4.2600,-1.47567476e-01
4.2800,-1.46297853e-01
4.3000,-1.45016318e-01
4.3200,-1.43723572e-01
4.3400,-1.42420298e-01
4.3600,-1.41107165e-01
4.3800,-1.39784823e-01
4.4000,-1.38453907e-01
4.4200,-1.37115037e-01
4.4400,-1.35768817e-01
4.4600,-1.34415835e-01
4.4800,-1.33056664e-01
4.5000,-1.31691863e-01
4.5200,-1.30321977e-01
4.5400,-1.28947535e-01
4.5600,-1.27569053e-01
4.5800,-1.26187034e-01
4.6000,-1.24801965e-01
4.6200,-1.23414323e-01
4.6400,-1.22024569e-01
4.6600,-1.20633152e-01
4.6800,-1.19240510e-01
4.7000,-1.17847067e-01
4.7200,-1.16453235e-01
4.7400,-1.15059415e-01
4.7600,-1.13665996e-01
4.7800,-1.12273354e-01
4.8000,-1.10881857e-01
4.8200,-1.09491858e-01
4.8400,-1.08103703e-01
4.8600,-1.06717725e-01
4.8800,-1.05334248e-01
4.9000,-1.03953585e-01
4.9200,-1.02576039e-01
4.9400,-1.01201903e-01
4.9600,-9.98314630e-02
4.9800,-9.84649923e-02
5.0000,-9.71027567e-02
5.0200,-9.57450130e-02
5.0400,-9.43920089e-02
5.0600,-9.30439838e-02
5.0800,-9.17011685e-02
5.1000,-9.03637858e-02
5.1200,-8.90320503e-02
5.1400,-8.77061689e-02
5.1600,-8.63863406e-02
5.1800,-8.50727572e-02
5.2000,-8.37656028e-02
5.2200,-8.24650546e-02
5.2400,-8.11712828e-02
5.2600,-7.98844505e-02
5.2800,-7.86047144e-02
5.3000,-7.73322245e-02
5.3200,-7.60671243e-02
5.3400,-7.48095514e-02
5.3600,-7.35596370e-02
5.3800,-7.23175066e-02
5.4000,-7.10832796e-02
5.4200,-6.98570700e-02
5.4400,-6.86389861e-02
5.4600,-6.74291311e-02
5.4800,-6.62276026e-02
5.5000,-6.50344932e-02
5.5200,-6.38498905e-02
5.5400,-6.26738773e-02
5.5600,-6.15065316e-02
5.5800,-6.03479268e-02
5.6000,-5.91981316e-02
5.6200,-5.80572105e-02
5.6400,-5.69252237e-02
5.6600,-5.58022272e-02
5.6800,-5.46882729e-02
5.7000,-5.35834087e-02
5.7200,-5.24876789e-02
5.7400,-5.14011238e-02
5.7600,-5.03237802e-02
5.7800,-4.92556812e-02
5.8000,-4.81968566e-02
5.8200,-4.71473328e-02
5.8400,-4.61071330e-02
5.8600,-4.50762770e-02
5.8800,-4.40547819e-02
5.9000,-4.30426615e-02
5.9200,-4.20399269e-02
5.9400,-4.10465861e-02
5.9600,-4.00626447e-02
5.9800,-3.90881055e-02
6.0000,-3.81229686e-02
6.0200,-3.71672318e-02
6.0400,-3.62208904e-02
6.0600,-3.52839374e-02
6.0800,-3.43563633e-02
6.1000,-3.34381567e-02
6.1200,-3.25293038e-02
6.1400,-3.16297890e-02
6.1600,-3.07395944e-02
6.1800,-2.98587004e-02
6.2000,-2.89870855e-02
6.2200,-2.81247262e-02
6.2400,-2.72715974e-02
6.2600,-2.64276723e-02
6.2800,-2.55929226e-02
6.3000,-2.47673180e-02
6.3200,-2.39508271e-02
6.3400,-2.31434169e-02
6.3600,-2.23450529e-02
6.3800,-2.15556994e-02
6.4000,-2.07753191e-02
6.4200,-2.00038738e-02
6.4400,-1.92413239e-02
6.4600,-1.84876286e-02
6.4800,-1.77427459e-02
6.5000,-1.70066331e-02
6.5200,-1.62792460e-02
6.5400,-1.55605397e-02
6.5600,-1.48504682e-02
6.5800,-1.41489847e-02
6.6000,-1.34560415e-02
6.6200,-1.27715901e-02
6.6400,-1.20955810e-02
6.6600,-1.14279643e-02
6.6800,-1.07686890e-02
6.7000,-1.01177037e-02
6.7200,-9.47495623e-03
6.7400,-8.84039381e-03
6.7600,-8.21396308e-03
6.7800,-7.59561012e-03
6.8000,-6.98528049e-03
6.8200,-6.38291926e-03
6.8400,-5.78847104e-03
6.8600,-5.20187997e-03
6.8800,-4.62308983e-03
6.9000,-4.05204397e-03
6.9200,-3.48868542e-03
6.9400,-2.93295686e-03
6.9600,-2.38480067e-03
6.9800,-1.84415896e-03
7.0000,-1.31097355e-03
7.0200,-7.85186049e-04
7.0400,-2.66737855e-04
7.0600,2.44429839e-04
7.0800,7.48376004e-04
7.1000,1.24515976e-03
7.1200,1.73484037e-03
7.1400,2.21747719e-03
7.1600,2.69312968e-03
7.1800,3.16185738e-03
7.2000,3.62371987e-03
7.2200,4.07877679e-03
7.2400,4.52708778e-03
7.2600,4.96871252e-03
7.2800,5.40371065e-03
7.3000,5.83214181e-03
7.3200,6.25406559e-03
7.3400,6.66954152e-03
7.3600,7.07862910e-03
7.3800,7.48138771e-03
7.4000,7.87787666e-03
7.4200,8.26815514e-03
7.4400,8.65228226e-03
7.4600,9.03031695e-03
7.4800,9.40231805e-03
7.5000,9.76834421e-03
7.5200,1.01284540e-02
7.5400,1.04827056e-02
7.5600,1.08311573e-02
7.5800,1.11738671e-02
7.6000,1.15108927e-02
7.6200,1.18422916e-02
7.6400,1.21681212e-02
7.6600,1.24884387e-02
7.6800,1.28033009e-02
7.7000,1.31127644e-02
7.7200,1.34168857e-02
7.7400,1.37157209e-02
7.7600,1.40093260e-02
7.7800,1.42977564e-02
7.8000,1.45810676e-02
7.8200,1.48593145e-02
7.8400,1.51325521e-02
7.8600,1.54008348e-02
7.8800,1.56642168e-02
7.9000,1.59227520e-02
7.9200,1.61764939e-02
7.9400,1.64254959e-02
7.9600,1.66698109e-02
7.9800,1.69094915e-02
8.0000,1.71445902e-02
8.0200,1.73751588e-02
8.0400,1.76012491e-02
8.0600,1.78229124e-02
8.0800,1.80401997e-02
8.1000,1.82531616e-02
8.1200,1.84618485e-02
8.1400,1.86663104e-02
8.1600,1.88665969e-02
8.1800,1.90627573e-02
8.2000,1.92548406e-02
8.2200,1.94428952e-02
8.2400,1.96269694e-02
8.2600,1.98071112e-02
8.2800,1.99833680e-02
8.3000,2.01557869e-02
8.3200,2.03244149e-02
8.3400,2.04892982e-02
8.3600,2.06504831e-02
8.3800,2.08080151e-02
8.4000,2.09619397e-02
8.4200,2.11123018e-02
8.4400,2.12591460e-02
8.4600,2.14025167e-02
8.4800,2.15424576e-02
8.5000,2.16790123e-02
8.5200,2.18122241e-02
8.5400,2.19421355e-02
8.5600,2.20687892e-02
8.5800,2.21922270e-02
8.6000,2.23124909e-02
8.6200,2.24296219e-02
8.6400,2.25436612e-02
8.6600,2.26546493e-02
8.6800,2.27626265e-02
8.7000,2.28676326e-02
8.7200,2.29697072e-02
8.7400,2.30688894e-02
8.7600,2.31652179e-02
8.7800,2.32587313e-02
8.8000,2.33494675e-02
8.8200,2.34374644e-02
8.8400,2.35227592e-02
8.8600,2.36053890e-02
8.8800,2.36853904e-02
8.9000,2.37627997e-02
8.9200,2.38376528e-02
8.9400,2.39099854e-02
8.9600,2.39798327e-02
8.9800,2.40472296e-02
9.0000,2.41122106e-02
9.0200,2.41748100e-02
9.0400,2.42350616e-02
9.0600,2.42929989e-02
9.0800,2.43486552e-02
9.1000,2.44020632e-02
9.1200,2.44532555e-02
9.1400,2.45022643e-02
9.1600,2.45491214e-02
9.1800,2.45938583e-02
9.2000,2.46365062e-02
9.2200,2.46770960e-02
9.2400,2.47156582e-02
9.2600,2.47522231e-02
9.2800,2.47868204e-02
9.3000,2.48194798e-02
9.3200,2.48502305e-02
9.3400,2.48791016e-02
9.3600,2.49061215e-02
9.3800,2.49313186e-02
9.4000,2.49547209e-02
9.4200,2.49763562e-02
9.4400,2.49962517e-02
9.4600,2.50144347e-02
9.4800,2.50309319e-02
9.5000,2.50457697e-02
9.5200,2.50589744e-02
9.5400,2.50705719e-02
9.5600,2.50805878e-02
9.5800,2.50890474e-02
9.6000,2.50959757e-02
9.6200,2.51013975e-02
9.6400,2.51053372e-02
9.6600,2.51078191e-02
9.6800,2.51088670e-02
9.7000,2.51085046e-02
9.7200,2.51067551e-02
9.7400,2.51036417e-02
9.7600,2.50991872e-02
9.7800,2.50934141e-02
9.8000,2.50863448e-02
9.8200,2.50780011e-02
9.8400,2.50684049e-02
9.8600,2.50575776e-02
9.8800,2.50455404e-02
9.9000,2.50323145e-02
9.9200,2.50179203e-02
9.9400,2.50023786e-02
9.9600,2.49857094e-02
9.9800,2.49679327e-02
10.0000,2.49490683e-02
10.0200,2.49291356e-02
10.0400,2.49081540e-02
10.0600,2.48861424e-02
10.0800,2.48631196e-02
10.1000,2.48391042e-02
10.1200,2.48141144e-02
10.1400,2.47881684e-02
10.1600,2.47612840e-02
10.1800,2.47334788e-02
10.2000,2.47047703e-02
10.2200,2.46751756e-02
10.2400,2.46447117e-02
10.2600,2.46133954e-02
10.2800,2.45812432e-02
10.3000,2.45482714e-02
10.3200,2.45144962e-02
10.3400,2.44799334e-02
10.3600,2.44445989e-02
10.3800,2.44085079e-02
10.4000,2.43716760e-02
10.4200,2.43341181e-02
10.4400,2.42958491e-02
10.4600,2.42568838e-02
10.4800,2.42172367e-02
10.5000,2.41769221e-02
10.5200,2.41359540e-02
10.5400,2.40943465e-02
10.5600,2.40521133e-02
10.5800,2.40092680e-02
10.6000,2.39658239e-02
10.6200,2.39217943e-02
10.6400,2.38771922e-02
10.6600,2.38320303e-02
10.6800,2.37863215e-02
10.7000,2.37400782e-02
10.7200,2.36933127e-02
10.7400,2.36460371e-02
10.7600,2.35982636e-02
10.7800,2.35500038e-02
10.8000,2.35012695e-02
10.8200,2.34520721e-02
10.8400,2.34024231e-02
10.8600,2.33523335e-02
10.8800,2.33018143e-02
10.9000,2.32508766e-02
10.9200,2.31995309e-02
10.9400,2.31477878e-02
10.9600,2.30956577e-02
10.9800,2.30431510e-02
11.0000,2.29902776e-02
11.0200,2.29370476e-02
11.0400,2.28834709e-02
11.0600,2.28295569e-02
11.0800,2.27753154e-02
11.1000,2.27207558e-02
11.1200,2.26658872e-02
11.1400,2.26107188e-02
11.1600,2.25552596e-02
11.1800,2.24995184e-02
11.2000,2.24435041e-02
11.2200,2.23872251e-02
11.2400,2.23306900e-02
11.2600,2.22739071e-02
11.2800,2.22168846e-02
11.3000,2.21596307e-02
11.3200,2.21021532e-02
11.3400,2.20444601e-02
11.3600,2.19865590e-02
11.3800,2.19284577e-02
11.4000,2.18701635e-02
11.4200,2.18116838e-02
11.4400,2.17530260e-02
11.4600,2.16941972e-02
11.4800,2.16352044e-02
11.5000,2.15760546e-02
11.5200,2.15167545e-02
11.5400,2.14573110e-02
11.5600,2.13977305e-02
11.5800,2.13380197e-02
11.6000,2.12781849e-02
11.6200,2.12182324e-02
11.6400,2.11581684e-02
11.6600,2.10979990e-02
11.6800,2.10377303e-02
11.7000,2.09773680e-02
11.7200,2.09169181e-02
11.7400,2.08563862e-02
11.7600,2.07957779e-02
11.7800,2.07350988e-02
11.8000,2.06743544e-02
11.8200,2.06135498e-02
11.8400,2.05526905e-02
11.8600,2.04917816e-02
11.8800,2.04308280e-02
11.9000,2.03698350e-02
11.9200,2.03088072e-02
11.9400,2.02477497e-02
11.9600,2.01866670e-02
11.9800,2.01255639e-02
12.0000,2.00644450e-02
12.0200,2.00033147e-02
12.0400,1.99421775e-02
12.0600,1.98810377e-02
12.0800,1.98198995e-02
12.1000,1.97587672e-02
12.1200,1.96976449e-02
12.1400,1.96365367e-02
12.1600,1.95754464e-02
12.1800,1.95143780e-02
12.2000,1.94533353e-02
12.2200,1.93923221e-02
12.2400,1.93313421e-02
12.2600,1.92703988e-02
12.2800,1.92094959e-02
12.3000,1.91486368e-02
12.3200,1.90878249e-02
12.3400,1.90270636e-02
12.3600,1.89663563e-02
12.3800,1.89057060e-02
12.4000,1.88451161e-02
12.4200,1.87845895e-02
12.4400,1.87241294e-02
12.4600,1.86637387e-02
12.4800,1.86034204e-02
12.5000,1.85431773e-02
12.5200,1.84830122e-02
12.5400,1.84229280e-02
12.5600,1.83629272e-02
12.5800,1.83030126e-02
12.6000,1.82431868e-02
12.6200,1.81834522e-02
12.6400,1.81238114e-02
12.6600,1.80642668e-02
12.6800,1.80048208e-02
12.7000,1.79454757e-02
12.7200,1.78862338e-02
12.7400,1.78270974e-02
12.7600,1.77680686e-02
12.7800,1.77091495e-02
12.8000,1.76503423e-02
12.8200,1.75916490e-02
12.8400,1.75330716e-02
12.8600,1.74746121e-02
12.8800,1.74162723e-02
12.9000,1.73580542e-02
12.9200,1.72999595e-02
12.9400,1.72419901e-02
12.9600,1.71841476e-02
12.9800,1.71264338e-02
13.0000,1.70688503e-02
13.0200,1.70113988e-02
13.0400,1.69540809e-02
13.0600,1.68968979e-02
13.0800,1.68398516e-02
13.1000,1.67829433e-02
13.1200,1.67261744e-02
13.1400,1.66695464e-02
13.1600,1.66130605e-02
13.1800,1.65567182e-02
13.2000,1.65005207e-02
13.2200,1.64444692e-02
13.2400,1.63885649e-02
13.2600,1.63328091e-02
13.2800,1.62772029e-02
13.3000,1.62217473e-02
13.3200,1.61664436e-02
13.3400,1.61112926e-02
13.3600,1.60562955e-02
13.3800,1.60014533e-02
13.4000,1.59467668e-02
13.4200,1.58922370e-02
13.4400,1.58378649e-02
13.4600,1.57836512e-02
13.4800,1.57295969e-02
13.5000,1.56757027e-02
13.5200,1.56219695e-02
13.5400,1.55683980e-02
13.5600,1.55149888e-02
13.5800,1.54617429e-02
13.6000,1.54086607e-02
13.6200,1.53557430e-02
13.6400,1.53029904e-02
13.6600,1.52504036e-02
13.6800,1.51979830e-02
13.7000,1.51457293e-02
13.7200,1.50936429e-02
13.7400,1.50417245e-02
13.7600,1.49899744e-02
13.7800,1.49383933e-02
13.8000,1.48869814e-02
13.8200,1.48357392e-02
13.8400,1.47846672e-02
13.8600,1.47337657e-02
13.8800,1.46830351e-02
13.9000,1.46324757e-02
13.9200,1.45820878e-02
13.9400,1.45318718e-02
13.9600,1.44818279e-02
13.9800,1.44319564e-02
14.0000,1.43822576e-02
14.0200,1.43327316e-02
14.0400,1.42833787e-02
14.0600,1.42341990e-02
14.0800,1.41851928e-02
14.1000,1.41363602e-02
14.1200,1.40877014e-02
14.1400,1.40392164e-02
14.1600,1.39909053e-02
14.1800,1.39427684e-02
14.2000,1.38948056e-02
14.2200,1.38470170e-02
14.2400,1.37994027e-02
14.2600,1.37519627e-02
14.2800,1.37046969e-02
14.3000,1.36576055e-02
14.3200,1.36106884e-02
14.3400,1.35639456e-02
14.3600,1.35173771e-02
14.3800,1.34709827e-02
14.4000,1.34247625e-02
14.4200,1.33787163e-02
14.4400,1.33328441e-02
14.4600,1.32871457e-02
14.4800,1.32416212e-02
14.5000,1.31962702e-02
14.5200,1.31510928e-02
14.5400,1.31060887e-02
14.5600,1.30612578e-02
14.5800,1.30166000e-02
14.6000,1.29721150e-02
14.6200,1.29278026e-02
14.6400,1.28836627e-02
14.6600,1.28396951e-02
14.6800,1.27958995e-02
14.7000,1.27522757e-02
14.7200,1.27088235e-02
14.7400,1.26655426e-02
14.7600,1.26224328e-02
14.7800,1.25794937e-02
14.8000,1.25367252e-02
14.8200,1.24941269e-02
14.8400,1.24516986e-02
14.8600,1.24094399e-02
14.8800,1.23673506e-02
14.9000,1.23254303e-02
14.9200,1.22836787e-02
14.9400,1.22420954e-02
14.9600,1.22006803e-02
14.9800,1.21594328e-02
15.0000,1.21183526e-02
15.0200,1.20774395e-02
15.0400,1.20366929e-02
15.0600,1.19961127e-02
15.0800,1.19556983e-02
15.1000,1.19154494e-02
15.1200,1.18753656e-02
15.1400,1.18354465e-02
15.1600,1.17956917e-02
15.1800,1.17561008e-02
15.2000,1.17166734e-02
15.2200,1.16774090e-02
15.2400,1.16383073e-02
15.2600,1.15993679e-02
15.2800,1.15605902e-02
15.3000,1.15219739e-02
15.3200,1.14835185e-02
15.3400,1.14452235e-02
15.3600,1.14070886e-02
15.3800,1.13691132e-02
15.4000,1.13312969e-02
15.4200,1.12936392e-02
15.4400,1.12561397e-02
15.4600,1.12187979e-02
15.4800,1.11816133e-02
15.5000,1.11445855e-02
15.5200,1.11077139e-02
15.5400,1.10709981e-02
15.5600,1.10344376e-02
15.5800,1.09980318e-02
15.6000,1.09617804e-02
15.6200,1.09256827e-02
15.6400,1.08897384e-02
15.6600,1.08539468e-02
15.6800,1.08183076e-02
15.7000,1.07828201e-02
15.7200,1.07474838e-02
15.7400,1.07122984e-02
15.7600,1.06772631e-02
15.7800,1.06423776e-02
15.8000,1.06076412e-02
15.8200,1.05730536e-02
15.8400,1.05386141e-02
15.8600,1.05043221e-02
15.8800,1.04701773e-02
15.9000,1.04361791e-02
15.9200,1.04023268e-02
15.9400,1.03686201e-02
15.9600,1.03350583e-02
15.9800,1.03016410e-02
16.0000,1.02683675e-02
16.0200,1.02352374e-02
16.0400,1.02022500e-02
16.0600,1.01694050e-02
16.0800,1.01367016e-02
16.1000,1.01041394e-02
16.1200,1.00717179e-02
16.1400,1.00394364e-02
16.1600,1.00072945e-02
16.1800,9.97529150e-03
16.2000,9.94342699e-03
16.2200,9.91170037e-03
16.2400,9.88011108e-03
16.2600,9.84865859e-03
16.2800,9.81734233e-03
16.3000,9.78616177e-03
16.3200,9.75511634e-03
16.3400,9.72420549e-03
16.3600,9.69342868e-03
16.3800,9.66278535e-03
16.4000,9.63227495e-03
16.4200,9.60189693e-03
16.4400,9.57165073e-03
16.4600,9.54153580e-03
16.4800,9.51155159e-03
16.5000,9.48169754e-03
16.5200,9.45197311e-03
16.5400,9.42237774e-03
16.5600,9.39291088e-03
16.5800,9.36357198e-03
16.6000,9.33436049e-03
16.6200,9.30527585e-03
16.6400,9.27631752e-03
16.6600,9.24748494e-03
16.6800,9.21877757e-03
16.7000,9.19019486e-03
16.7200,9.16173625e-03
16.7400,9.13340120e-03
16.7600,9.10518917e-03
16.7800,9.07709960e-03
16.8000,9.04913195e-03
16.8200,9.02128567e-03
16.8400,8.99356022e-03
16.8600,8.96595506e-03
16.8800,8.93846964e-03
16.9000,8.91110342e-03
16.9200,8.88385586e-03
16.9400,8.85672642e-03
16.9600,8.82971455e-03
16.9800,8.80281973e-03
17.0000,8.77604141e-03
17.0200,8.74937905e-03
17.0400,8.72283213e-03
17.0600,8.69640010e-03
17.0800,8.67008244e-03
17.1000,8.64387860e-03
17.1200,8.61778807e-03
17.1400,8.59181030e-03
17.1600,8.56594478e-03
17.1800,8.54019097e-03
17.2000,8.51454835e-03
17.2200,8.48901639e-03
17.2400,8.46359457e-03
17.2600,8.43828237e-03
17.2800,8.41307926e-03
17.3000,8.38798473e-03
17.3200,8.36299826e-03
17.3400,8.33811933e-03
17.3600,8.31334742e-03
17.3800,8.28868202e-03
17.4000,8.26412263e-03
17.4200,8.23966872e-03
17.4400,8.21531979e-03
17.4600,8.19107533e-03
17.4800,8.16693483e-03
17.5000,8.14289779e-03
17.5200,8.11896370e-03
17.5400,8.09513206e-03
17.5600,8.07140238e-03
17.5800,8.04777415e-03
17.6000,8.02424687e-03
17.6200,8.00082005e-03
17.6400,7.97749320e-03
17.6600,7.95426582e-03
17.6800,7.93113742e-03
17.7000,7.90810751e-03
17.7200,7.88517560e-03
17.7400,7.86234122e-03
17.7600,7.83960386e-03
17.7800,7.81696306e-03
17.8000,7.79441833e-03
17.8200,7.77196919e-03
17.8400,7.74961517e-03
17.8600,7.72735578e-03
17.8800,7.70519056e-03
17.9000,7.68311902e-03
17.9200,7.66114071e-03
17.9400,7.63925515e-03
17.9600,7.61746188e-03
17.9800,7.59576043e-03
18.0000,7.57415033e-03
18.0200,7.55263113e-03
18.0400,7.53120236e-03
18.0600,7.50986357e-03
18.0800,7.48861430e-03
18.1000,7.46745410e-03
18.1200,7.44638251e-03
18.1400,7.42539908e-03
18.1600,7.40450336e-03
18.1800,7.38369491e-03
18.2000,7.36297329e-03
18.2200,7.34233804e-03
18.2400,7.32178872e-03
18.2600,7.30132490e-03
18.2800,7.28094614e-03
18.3000,7.26065199e-03
18.3200,7.24044204e-03
18.3400,7.22031584e-03
18.3600,7.20027296e-03
18.3800,7.18031297e-03
18.4000,7.16043546e-03
18.4200,7.14063998e-03
18.4400,7.12092613e-03
18.4600,7.10129347e-03
18.4800,7.08174159e-03
18.5000,7.06227007e-03
18.5200,7.04287850e-03
18.5400,7.02356645e-03
18.5600,7.00433353e-03
18.5800,6.98517931e-03
18.6000,6.96610339e-03
18.6200,6.94710536e-03
18.6400,6.92818483e-03
18.6600,6.90934137e-03
18.6800,6.89057461e-03
18.7000,6.87188412e-03
18.7200,6.85326953e-03
18.7400,6.83473043e-03
18.7600,6.81626643e-03
18.7800,6.79787713e-03
18.8000,6.77956215e-03
18.8200,6.76132110e-03
18.8400,6.74315360e-03
18.8600,6.72505925e-03
18.8800,6.70703768e-03
18.9000,6.68908850e-03
18.9200,6.67121134e-03
18.9400,6.65340582e-03
18.9600,6.63567157e-03
18.9800,6.61800820e-03
19.0000,6.60041536e-03
19.0200,6.58289267e-03
19.0400,6.56543975e-03
19.0600,6.54805626e-03
19.0800,6.53074182e-03
19.1000,6.51349606e-03
19.1200,6.49631864e-03
19.1400,6.47920918e-03
19.1600,6.46216734e-03
19.1800,6.44519275e-03
19.2000,6.42828507e-03
19.2200,6.41144395e-03
19.2400,6.39466902e-03
19.2600,6.37795995e-03
19.2800,6.36131639e-03
19.3000,6.34473799e-03
19.3200,6.32822442e-03
19.3400,6.31177532e-03
19.3600,6.29539037e-03
19.3800,6.27906922e-03
19.4000,6.26281153e-03
19.4200,6.24661698e-03
19.4400,6.23048523e-03
19.4600,6.21441596e-03
19.4800,6.19840882e-03
19.5000,6.18246350e-03
19.5200,6.16657967e-03
19.5400,6.15075701e-03
19.5600,6.13499519e-03
19.5800,6.11929389e-03
19.6000,6.10365280e-03
