element,point_id,t,E_pred_eV
Mg,83,0.081700,9.436973
Mg,84,0.036160,-6.356880
Mg,84,0.036160,-1.650085
Mg,84,0.036160,-1.121378
Mg,84,0.036160,9.465269
Mg,85,0.034090,-6.357066
Mg,85,0.034090,-1.643714
Mg,85,0.034090,-1.128068
Mg,85,0.034090,9.466022
Mg,86,0.020170,-6.358028
Mg,86,0.020170,-1.607524
Mg,86,0.020170,-1.165903
Mg,86,0.020170,9.469929
Mg,87,0.000000,-6.358546
Mg,87,0.000000,-1.585183
Mg,87,0.000000,-1.189128
Mg,87,0.000000,9.472026
Mg,88,0.000000,-6.358546
Mg,88,0.000000,-1.585184
Mg,88,0.000000,-1.189128
Mg,88,0.000000,9.472026
