element,point_id,t,E_pred_eV
Mg,47,0.664460,-6.031263
Mg,47,0.664460,-4.277816
Mg,47,0.664460,2.371311
Mg,48,0.648590,-6.058805
Mg,48,0.648590,-4.222757
Mg,48,0.648590,2.270520
Mg,49,0.632690,-6.085671
Mg,49,0.632690,-4.166888
Mg,49,0.632690,2.170030
Mg,50,0.609910,-6.123078
Mg,50,0.609910,-4.085929
Mg,50,0.609910,2.026798
Mg,51,0.569110,-6.186577
Mg,51,0.569110,-3.937707
Mg,51,0.569110,1.772783
Mg,52,0.544400,-6.223093
Mg,52,0.544400,-3.845843
Mg,52,0.544400,1.620503
Mg,53,0.542290,-6.226067
Mg,53,0.542290,-3.837909
Mg,53,0.542290,1.607526
Mg,54,0.470710,-6.321886
Mg,54,0.470710,-3.563740
Mg,54,0.470710,1.173414
Mg,55,0.455960,-6.340266
Mg,55,0.455960,-3.505858
Mg,55,0.455960,1.085203
Mg,56,0.440050,-6.358886
Mg,56,0.440050,-3.442654
Mg,56,0.440050,0.990622
Mg,57,0.394490,-6.409476
Mg,57,0.394490,-3.259030
Mg,57,0.394490,0.722603
Mg,58,0.388340,-6.415709
Mg,58,0.388340,-3.233548
Mg,58,0.388340,0.686802
Mg,59,0.357490,-6.446329
Mg,59,0.357490,-3.106253
Mg,59,0.357490,0.508270
Mg,60,0.356710,-6.446998
Mg,60,0.356710,-3.102746
Mg,60,0.356710,0.503795
Mg,61,0.298110,-6.497855
Mg,61,0.298110,-2.854763
Mg,61,0.298110,0.170755
Mg,62,0.273110,-6.516917
Mg,62,0.273110,-2.747017
Mg,62,0.273110,0.031163
Mg,63,0.272360,-6.517377
Mg,63,0.272360,-2.743575
Mg,63,0.272360,0.026997
Mg,64,0.225520,-6.548342
Mg,64,0.225520,-2.538268
Mg,64,0.225520,-0.230094
Mg,64,0.225520,9.337513
Mg,65,0.199020,-6.563278
Mg,65,0.199020,-2.420766
Mg,65,0.199020,-0.372766
Mg,65,0.199020,9.401869
Mg,66,0.198190,-6.563754
Mg,66,0.198190,-2.416845
Mg,66,0.198190,-0.377203
Mg,66,0.198190,9.403662
Mg,67,0.195700,-6.565016
Mg,67,0.195700,-2.405792
Mg,67,0.195700,-0.390491
Mg,67,0.195700,9.409033
Mg,68,0.194770,-6.565533
Mg,68,0.194770,-2.401594
Mg,68,0.194770,-0.395448
Mg,68,0.194770,9.411099
Mg,69,0.193370,-6.566224
Mg,69,0.193370,-2.395367
Mg,69,0.193370,-0.402905
Mg,69,0.193370,9.414078
Mg,70,0.180480,-6.572648
Mg,70,0.180480,-2.337810
Mg,70,0.180480,-0.471241
Mg,70,0.180480,9.440208
Mg,71,0.174260,-6.575544
Mg,71,0.174260,-2.309848
Mg,71,0.174260,-0.504006
Mg,71,0.174260,9.451929
Mg,72,0.161460,-6.581301
Mg,72,0.161460,-2.252555
Mg,72,0.161460,-0.570952
Mg,72,0.161460,9.474502
Mg,73,0.154590,-6.584118
Mg,73,0.154590,-2.221622
Mg,73,0.154590,-0.606613
Mg,73,0.154590,9.485617
Mg,74,0.151760,-6.585338
Mg,74,0.151760,-2.208943
Mg,74,0.151760,-0.621233
Mg,74,0.151760,9.489990
Mg,75,0.143860,-6.588365
Mg,75,0.143860,-2.173552
Mg,75,0.143860,-0.661868
Mg,75,0.143860,9.501693
Mg,76,0.134130,-6.592055
Mg,76,0.134130,-2.129936
Mg,76,0.134130,-0.711477
Mg,76,0.134130,9.514998
Mg,77,0.131080,-6.593049
Mg,77,0.131080,-2.116235
Mg,77,0.131080,-0.726923
Mg,77,0.131080,9.518897
Mg,78,0.121480,-6.596329
Mg,78,0.121480,-2.073467
Mg,78,0.121480,-0.775168
Mg,78,0.121480,9.530677
Mg,79,0.118980,-6.597072
Mg,79,0.118980,-2.062246
Mg,79,0.118980,-0.787639
Mg,79,0.118980,9.533359
Mg,80,0.117630,-6.597541
Mg,80,0.117630,-2.056270
Mg,80,0.117630,-0.794353
Mg,80,0.117630,9.534995
Mg,81,0.106220,-6.600871
Mg,81,0.106220,-2.005816
Mg,81,0.106220,-0.850560
Mg,81,0.106220,9.546797
Mg,82,0.105450,-6.601140
Mg,82,0.105450,-2.002329
Mg,82,0.105450,-0.854313
Mg,82,0.105450,9.547660
Mg,83,0.081700,-6.607000
Mg,83,0.081700,-1.899355
Mg,83,0.081700,-0.967186
Mg,83,0.081700,9.567794
Mg,84,0.036160,-6.614182
Mg,84,0.036160,-1.725134
Mg,84,0.036160,-1.153440
Mg,84,0.036160,9.591009
Mg,85,0.034090,-6.614301
Mg,85,0.034090,-1.718834
Mg,85,0.034090,-1.160128
Mg,85,0.034090,9.591644
Mg,86,0.020170,-6.615420
Mg,86,0.020170,-1.683229
Mg,86,0.020170,-1.197443
Mg,86,0.020170,9.594802
Mg,87,0.000000,-6.615796
Mg,87,0.000000,-1.661643
Mg,87,0.000000,-1.219997
Mg,87,0.000000,9.596520
Mg,87,0.000000,-6.615925
Mg,87,0.000000,-1.661641
Mg,87,0.000000,-1.220015
Mg,87,0.000000,9.596510
