K_bohr_inv,f_c
2.4800,2.78148586e-01
2.5000,2.72523425e-01
2.5200,2.66925982e-01
2.5400,2.61357006e-01
2.5600,2.55817227e-01
2.5800,2.50307359e-01
2.6000,2.44828096e-01
2.6200,2.39380116e-01
2.6400,2.33964077e-01
2.6600,2.28580622e-01
2.6800,2.23230373e-01
2.7000,2.17913936e-01
2.7200,2.12631899e-01
2.7400,2.07384832e-01
2.7600,2.02173289e-01
2.7800,1.96997806e-01
2.8000,1.91858900e-01
2.8200,1.86757072e-01
2.8400,1.81692807e-01
2.8600,1.76666571e-01
2.8800,1.71678815e-01
2.9000,1.66729973e-01
2.9200,1.61820460e-01
2.9400,1.56950679e-01
2.9600,1.52121012e-01
2.9800,1.47331828e-01
3.0000,1.42583479e-01
3.0200,1.37876301e-01
3.0400,1.33210615e-01
3.0600,1.28586727e-01
3.0800,1.24004925e-01
3.1000,1.19465484e-01
3.1200,1.14968665e-01
3.1400,1.10514712e-01
3.1600,1.06103855e-01
3.1800,1.01736310e-01
3.2000,9.74122793e-02
3.2200,9.31319501e-02
3.2400,8.88954961e-02
3.2600,8.47030775e-02
3.2800,8.05548410e-02
3.3000,7.64509199e-02
3.3200,7.23914348e-02
3.3400,6.83764930e-02
3.3600,6.44061896e-02
3.3800,6.04806069e-02
3.4000,5.65998151e-02
3.4200,5.27638725e-02
3.4400,4.89728254e-02
3.4600,4.52267086e-02
3.4800,4.15255455e-02
3.5000,3.78693481e-02
3.5200,3.42581178e-02
3.5400,3.06918449e-02
3.5600,2.71705093e-02
3.5800,2.36940804e-02
3.6000,2.02625177e-02
3.6200,1.68757704e-02
3.6400,1.35337784e-02
3.6600,1.02364716e-02
3.6800,6.98377101e-03
3.7000,3.77558828e-03
3.7200,6.11826214e-04
3.7400,-2.50762108e-03
3.7600,-5.58286800e-03
3.7800,-8.61403726e-03
3.8000,-1.16012596e-02
3.8200,-1.45446739e-02
3.8400,-1.74444263e-02
3.8600,-2.03006709e-02
3.8800,-2.31135688e-02
3.9000,-2.58832884e-02
3.9200,-2.86100050e-02
3.9400,-3.12939005e-02
3.9600,-3.39351635e-02
3.9800,-3.65339889e-02
4.0000,-3.90905778e-02
4.0200,-4.16051371e-02
4.0400,-4.40778799e-02
4.0600,-4.65090246e-02
4.0800,-4.88987952e-02
4.1000,-5.12474209e-02
4.1200,-5.35551360e-02
4.1400,-5.58221799e-02
4.1600,-5.80487965e-02
4.1800,-6.02352345e-02
4.2000,-6.23817470e-02
4.2200,-6.44885914e-02
4.2400,-6.65560290e-02
4.2600,-6.85843253e-02
4.2800,-7.05737494e-02
4.3000,-7.25245742e-02
4.3200,-7.44370761e-02
4.3400,-7.63115347e-02
4.3600,-7.81482328e-02
4.3800,-7.99474564e-02
4.4000,-8.17094942e-02
4.4200,-8.34346379e-02
4.4400,-8.51231817e-02
4.4600,-8.67754223e-02
4.4800,-8.83916587e-02
4.5000,-8.99721922e-02
4.5200,-9.15173262e-02
4.5400,-9.30273660e-02
4.5600,-9.45026190e-02
4.5800,-9.59433940e-02
4.6000,-9.73500016e-02
4.6200,-9.87227538e-02
4.6400,-1.00061964e-01
4.6600,-1.01367947e-01
4.6800,-1.02641019e-01
4.7000,-1.03881496e-01
4.7200,-1.05089696e-01
4.7400,-1.06265938e-01
4.7600,-1.07410542e-01
4.7800,-1.08523826e-01
4.8000,-1.09606113e-01
4.8200,-1.10657723e-01
4.8400,-1.11678977e-01
4.8600,-1.12670197e-01
4.8800,-1.13631704e-01
4.9000,-1.14563821e-01
4.9200,-1.15466870e-01
4.9400,-1.16341171e-01
4.9600,-1.17187048e-01
4.9800,-1.18004821e-01
5.0000,-1.18794811e-01
5.0200,-1.19557339e-01
5.0400,-1.20292725e-01
5.0600,-1.21001288e-01
5.0800,-1.21683349e-01
5.1000,-1.22339225e-01
5.1200,-1.22969233e-01
5.1400,-1.23573692e-01
5.1600,-1.24152915e-01
5.1800,-1.24707220e-01
5.2000,-1.25236919e-01
5.2200,-1.25742326e-01
5.2400,-1.26223753e-01
5.2600,-1.26681510e-01
5.2800,-1.27115907e-01
5.3000,-1.27527253e-01
5.3200,-1.27915854e-01
5.3400,-1.28282016e-01
5.3600,-1.28626044e-01
5.3800,-1.28948239e-01
5.4000,-1.29248905e-01
5.4200,-1.29528339e-01
5.4400,-1.29786842e-01
5.4600,-1.30024709e-01
5.4800,-1.30242236e-01
5.5000,-1.30439716e-01
5.5200,-1.30617441e-01
5.5400,-1.30775700e-01
5.5600,-1.30914783e-01
5.5800,-1.31034975e-01
5.6000,-1.31136561e-01
5.6200,-1.31219824e-01
5.6400,-1.31285045e-01
5.6600,-1.31332502e-01
5.6800,-1.31362474e-01
5.7000,-1.31375234e-01
5.7200,-1.31371057e-01
5.7400,-1.31350213e-01
5.7600,-1.31312971e-01
5.7800,-1.31259599e-01
5.8000,-1.31190362e-01
5.8200,-1.31105522e-01
5.8400,-1.31005341e-01
5.8600,-1.30890078e-01
5.8800,-1.30759989e-01
5.9000,-1.30615329e-01
5.9200,-1.30456351e-01
5.9400,-1.30283304e-01
5.9600,-1.30096438e-01
5.9800,-1.29895997e-01
6.0000,-1.29682227e-01
6.0200,-1.29455369e-01
6.0400,-1.29215662e-01
6.0600,-1.28963344e-01
6.0800,-1.28698650e-01
6.1000,-1.28421813e-01
6.1200,-1.28133063e-01
6.1400,-1.27832630e-01
6.1600,-1.27520739e-01
6.1800,-1.27197615e-01
6.2000,-1.26863480e-01
6.2200,-1.26518553e-01
6.2400,-1.26163052e-01
6.2600,-1.25797193e-01
6.2800,-1.25421188e-01
6.3000,-1.25035249e-01
6.3200,-1.24639583e-01
6.3400,-1.24234398e-01
6.3600,-1.23819898e-01
6.3800,-1.23396285e-01
6.4000,-1.22963759e-01
6.4200,-1.22522517e-01
6.4400,-1.22072756e-01
6.4600,-1.21614668e-01
6.4800,-1.21148446e-01
6.5000,-1.20674276e-01
6.5200,-1.20192348e-01
6.5400,-1.19702845e-01
6.5600,-1.19205951e-01
6.5800,-1.18701845e-01
6.6000,-1.18190705e-01
6.6200,-1.17672709e-01
6.6400,-1.17148031e-01
6.6600,-1.16616842e-01
6.6800,-1.16079312e-01
6.7000,-1.15535609e-01
6.7200,-1.14985899e-01
6.7400,-1.14430346e-01
6.7600,-1.13869111e-01
6.7800,-1.13302355e-01
6.8000,-1.12730234e-01
6.8200,-1.12152905e-01
6.8400,-1.11570521e-01
6.8600,-1.10983233e-01
6.8800,-1.10391192e-01
6.9000,-1.09794544e-01
6.9200,-1.09193437e-01
6.9400,-1.08588013e-01
6.9600,-1.07978414e-01
6.9800,-1.07364781e-01
7.0000,-1.06747251e-01
7.0200,-1.06125961e-01
7.0400,-1.05501045e-01
7.0600,-1.04872635e-01
7.0800,-1.04240863e-01
7.1000,-1.03605856e-01
7.1200,-1.02967741e-01
7.1400,-1.02326645e-01
7.1600,-1.01682689e-01
7.1800,-1.01035996e-01
7.2000,-1.00386686e-01
7.2200,-9.97348758e-02
7.2400,-9.90806826e-02
7.2600,-9.84242208e-02
7.2800,-9.77656032e-02
7.3000,-9.71049411e-02
7.3200,-9.64423439e-02
7.3400,-9.57779194e-02
7.3600,-9.51117738e-02
7.3800,-9.44440118e-02
7.4000,-9.37747361e-02
7.4200,-9.31040483e-02
7.4400,-9.24320479e-02
7.4600,-9.17588331e-02
7.4800,-9.10845005e-02
7.5000,-9.04091453e-02
7.5200,-8.97328608e-02
7.5400,-8.90557392e-02
7.5600,-8.83778708e-02
7.5800,-8.76993447e-02
7.6000,-8.70202484e-02
7.6200,-8.63406681e-02
7.6400,-8.56606882e-02
7.6600,-8.49803921e-02
7.6800,-8.42998615e-02
7.7000,-8.36191768e-02
7.7200,-8.29384169e-02
7.7400,-8.22576596e-02
7.7600,-8.15769810e-02
7.7800,-8.08964561e-02
7.8000,-8.02161584e-02
7.8200,-7.95361603e-02
7.8400,-7.88565327e-02
7.8600,-7.81773453e-02
7.8800,-7.74986666e-02
7.9000,-7.68205636e-02
7.9200,-7.61431022e-02
7.9400,-7.54663473e-02
7.9600,-7.47903621e-02
7.9800,-7.41152091e-02
8.0000,-7.34409492e-02
8.0200,-7.27676423e-02
8.0400,-7.20953472e-02
8.0600,-7.14241214e-02
8.0800,-7.07540215e-02
8.1000,-7.00851027e-02
8.1200,-6.94174192e-02
8.1400,-6.87510242e-02
8.1600,-6.80859697e-02
8.1800,-6.74223067e-02
8.2000,-6.67600850e-02
8.2200,-6.60993536e-02
8.2400,-6.54401603e-02
8.2600,-6.47825518e-02
8.2800,-6.41265741e-02
8.3000,-6.34722719e-02
8.3200,-6.28196891e-02
8.3400,-6.21688685e-02
8.3600,-6.15198521e-02
8.3800,-6.08726808e-02
8.4000,-6.02273947e-02
8.4200,-5.95840328e-02
8.4400,-5.89426335e-02
8.4600,-5.83032339e-02
8.4800,-5.76658706e-02
8.5000,-5.70305791e-02
8.5200,-5.63973941e-02
8.5400,-5.57663494e-02
8.5600,-5.51374781e-02
8.5800,-5.45108123e-02
8.6000,-5.38863834e-02
8.6200,-5.32642220e-02
8.6400,-5.26443578e-02
8.6600,-5.20268198e-02
8.6800,-5.14116362e-02
8.7000,-5.07988344e-02
8.7200,-5.01884413e-02
8.7400,-4.95804826e-02
8.7600,-4.89749837e-02
8.7800,-4.83719691e-02
8.8000,-4.77714625e-02
8.8200,-4.71734871e-02
8.8400,-4.65780652e-02
8.8600,-4.59852187e-02
8.8800,-4.53949685e-02
8.9000,-4.48073350e-02
8.9200,-4.42223381e-02
8.9400,-4.36399968e-02
8.9600,-4.30603295e-02
8.9800,-4.24833542e-02
9.0000,-4.19090881e-02
9.0200,-4.13375479e-02
9.0400,-4.07687495e-02
9.0600,-4.02027085e-02
9.0800,-3.96394397e-02
9.1000,-3.90789574e-02
9.1200,-3.85212754e-02
9.1400,-3.79664070e-02
9.1600,-3.74143647e-02
9.1800,-3.68651607e-02
9.2000,-3.63188066e-02
9.2200,-3.57753135e-02
9.2400,-3.52346921e-02
9.2600,-3.46969522e-02
9.2800,-3.41621037e-02
9.3000,-3.36301555e-02
9.3200,-3.31011163e-02
9.3400,-3.25749942e-02
9.3600,-3.20517970e-02
9.3800,-3.15315319e-02
9.4000,-3.10142057e-02
9.4200,-3.04998247e-02
9.4400,-2.99883949e-02
9.4600,-2.94799219e-02
9.4800,-2.89744106e-02
9.5000,-2.84718657e-02
9.5200,-2.79722916e-02
9.5400,-2.74756921e-02
9.5600,-2.69820706e-02
9.5800,-2.64914304e-02
9.6000,-2.60037742e-02
9.6200,-2.55191042e-02
9.6400,-2.50374225e-02
9.6600,-2.45587308e-02
9.6800,-2.40830303e-02
9.7000,-2.36103220e-02
9.7200,-2.31406066e-02
9.7400,-2.26738841e-02
9.7600,-2.22101548e-02
9.7800,-2.17494181e-02
9.8000,-2.12916734e-02
9.8200,-2.08369197e-02
9.8400,-2.03851558e-02
9.8600,-1.99363800e-02
9.8800,-1.94905905e-02
9.9000,-1.90477852e-02
9.9200,-1.86079615e-02
9.9400,-1.81711168e-02
9.9600,-1.77372481e-02
9.9800,-1.73063521e-02
10.0000,-1.68784254e-02
10.0200,-1.64534643e-02
10.0400,-1.60314646e-02
10.0600,-1.56124222e-02
10.0800,-1.51963325e-02
10.1000,-1.47831910e-02
10.1200,-1.43729925e-02
10.1400,-1.39657320e-02
10.1600,-1.35614041e-02
10.1800,-1.31600031e-02
10.2000,-1.27615233e-02
10.2200,-1.23659586e-02
10.2400,-1.19733028e-02
10.2600,-1.15835496e-02
10.2800,-1.11966923e-02
10.3000,-1.08127240e-02
10.3200,-1.04316379e-02
10.3400,-1.00534268e-02
10.3600,-9.67808335e-03
10.3800,-9.30560002e-03
10.4000,-8.93596917e-03
10.4200,-8.56918295e-03
10.4400,-8.20523338e-03
10.4600,-7.84411230e-03
10.4800,-7.48581141e-03
10.5000,-7.13032226e-03
10.5200,-6.77763626e-03
10.5400,-6.42774466e-03
10.5600,-6.08063859e-03
10.5800,-5.73630904e-03
10.6000,-5.39474688e-03
10.6200,-5.05594283e-03
10.6400,-4.71988750e-03
10.6600,-4.38657139e-03
10.6800,-4.05598486e-03
10.7000,-3.72811816e-03
10.7200,-3.40296145e-03
10.7400,-3.08050476e-03
10.7600,-2.76073801e-03
10.7800,-2.44365105e-03
10.8000,-2.12923359e-03
10.8200,-1.81747528e-03
10.8400,-1.50836565e-03
10.8600,-1.20189415e-03
10.8800,-8.98050157e-04
10.9000,-5.96822934e-04
10.9200,-2.98201682e-04
10.9400,-2.17551444e-06
10.9600,2.91266528e-04
10.9800,5.82135482e-04
11.0000,8.70442455e-04
11.0200,1.15619862e-03
11.0400,1.43941523e-03
11.0600,1.72010359e-03
11.0800,1.99827506e-03
11.1000,2.27394108e-03
11.1200,2.54711314e-03
11.1400,2.81780278e-03
11.1600,3.08602159e-03
11.1800,3.35178122e-03
11.2000,3.61509337e-03
11.2200,3.87596978e-03
11.2400,4.13442223e-03
11.2600,4.39046255e-03
11.2800,4.64410262e-03
11.3000,4.89535433e-03
11.3200,5.14422964e-03
11.3400,5.39074052e-03
11.3600,5.63489898e-03
11.3800,5.87671706e-03
11.4000,6.11620684e-03
11.4200,6.35338040e-03
11.4400,6.58824988e-03
11.4600,6.82082742e-03
11.4800,7.05112519e-03
11.5000,7.27915537e-03
11.5200,7.50493018e-03
11.5400,7.72846184e-03
11.5600,7.94976258e-03
11.5800,8.16884467e-03
11.6000,8.38572036e-03
11.6200,8.60040194e-03
11.6400,8.81290169e-03
11.6600,9.02323190e-03
11.6800,9.23140488e-03
11.7000,9.43743292e-03
11.7200,9.64132835e-03
11.7400,9.84310347e-03
11.7600,1.00427706e-02
11.7800,1.02403420e-02
11.8000,1.04358301e-02
11.8200,1.06292471e-02
11.8400,1.08206053e-02
11.8600,1.10099171e-02
11.8800,1.11971947e-02
11.9000,1.13824504e-02
11.9200,1.15656966e-02
11.9400,1.17469453e-02
11.9600,1.19262090e-02
11.9800,1.21034999e-02
12.0000,1.22788302e-02
12.0200,1.24522120e-02
12.0400,1.26236577e-02
12.0600,1.27931794e-02
12.0800,1.29607892e-02
12.1000,1.31264994e-02
12.1200,1.32903220e-02
12.1400,1.34522692e-02
12.1600,1.36123530e-02
12.1800,1.37705856e-02
12.2000,1.39269789e-02
12.2200,1.40815451e-02
12.2400,1.42342960e-02
12.2600,1.43852438e-02
12.2800,1.45344003e-02
12.3000,1.46817774e-02
12.3200,1.48273871e-02
12.3400,1.49712413e-02
12.3600,1.51133517e-02
12.3800,1.52537302e-02
12.4000,1.53923886e-02
12.4200,1.55293386e-02
12.4400,1.56645920e-02
12.4600,1.57981604e-02
12.4800,1.59300555e-02
12.5000,1.60602890e-02
12.5200,1.61888723e-02
12.5400,1.63158172e-02
12.5600,1.64411350e-02
12.5800,1.65648373e-02
12.6000,1.66869356e-02
12.6200,1.68074412e-02
12.6400,1.69263655e-02
12.6600,1.70437200e-02
12.6800,1.71595158e-02
12.7000,1.72737643e-02
12.7200,1.73864766e-02
12.7400,1.74976641e-02
12.7600,1.76073377e-02
12.7800,1.77155087e-02
12.8000,1.78221881e-02
12.8200,1.79273869e-02
12.8400,1.80311161e-02
12.8600,1.81333867e-02
12.8800,1.82342096e-02
12.9000,1.83335956e-02
12.9200,1.84315555e-02
12.9400,1.85281002e-02
12.9600,1.86232404e-02
12.9800,1.87169867e-02
13.0000,1.88093498e-02
13.0200,1.89003404e-02
13.0400,1.89899689e-02
13.0600,1.90782459e-02
13.0800,1.91651818e-02
13.1000,1.92507872e-02
13.1200,1.93350723e-02
13.1400,1.94180475e-02
13.1600,1.94997231e-02
13.1800,1.95801093e-02
13.2000,1.96592164e-02
13.2200,1.97370544e-02
13.2400,1.98136336e-02
13.2600,1.98889639e-02
13.2800,1.99630553e-02
13.3000,2.00359179e-02
13.3200,2.01075615e-02
13.3400,2.01779960e-02
13.3600,2.02472313e-02
13.3800,2.03152771e-02
13.4000,2.03821431e-02
13.4200,2.04478391e-02
13.4400,2.05123746e-02
13.4600,2.05757592e-02
13.4800,2.06380025e-02
13.5000,2.06991140e-02
13.5200,2.07591031e-02
13.5400,2.08179792e-02
13.5600,2.08757517e-02
13.5800,2.09324298e-02
13.6000,2.09880227e-02
13.6200,2.10425398e-02
13.6400,2.10959901e-02
13.6600,2.11483827e-02
13.6800,2.11997268e-02
13.7000,2.12500312e-02
13.7200,2.12993050e-02
13.7400,2.13475570e-02
13.7600,2.13947962e-02
13.7800,2.14410313e-02
13.8000,2.14862711e-02
13.8200,2.15305242e-02
13.8400,2.15737995e-02
13.8600,2.16161054e-02
13.8800,2.16574506e-02
13.9000,2.16978436e-02
13.9200,2.17372927e-02
13.9400,2.17758066e-02
13.9600,2.18133935e-02
13.9800,2.18500617e-02
14.0000,2.18858195e-02
14.0200,2.19206752e-02
14.0400,2.19546370e-02
14.0600,2.19877129e-02
14.0800,2.20199110e-02
14.1000,2.20512395e-02
14.1200,2.20817062e-02
14.1400,2.21113191e-02
14.1600,2.21400861e-02
14.1800,2.21680150e-02
14.2000,2.21951137e-02
14.2200,2.22213899e-02
14.2400,2.22468512e-02
14.2600,2.22715053e-02
14.2800,2.22953599e-02
14.3000,2.23184225e-02
14.3200,2.23407005e-02
14.3400,2.23622016e-02
14.3600,2.23829330e-02
14.3800,2.24029021e-02
14.4000,2.24221163e-02
14.4200,2.24405828e-02
14.4400,2.24583089e-02
14.4600,2.24753018e-02
14.4800,2.24915685e-02
14.5000,2.25071162e-02
14.5200,2.25219520e-02
14.5400,2.25360827e-02
14.5600,2.25495154e-02
14.5800,2.25622570e-02
14.6000,2.25743142e-02
14.6200,2.25856941e-02
14.6400,2.25964032e-02
14.6600,2.26064484e-02
14.6800,2.26158363e-02
14.7000,2.26245735e-02
14.7200,2.26326667e-02
14.7400,2.26401223e-02
14.7600,2.26469469e-02
14.7800,2.26531470e-02
14.8000,2.26587289e-02
14.8200,2.26636990e-02
14.8400,2.26680637e-02
14.8600,2.26718291e-02
14.8800,2.26750016e-02
14.9000,2.26775874e-02
14.9200,2.26795926e-02
14.9400,2.26810233e-02
14.9600,2.26818855e-02
14.9800,2.26821853e-02
15.0000,2.26819287e-02
15.0200,2.26811216e-02
15.0400,2.26797699e-02
15.0600,2.26778794e-02
15.0800,2.26754560e-02
15.1000,2.26725054e-02
15.1200,2.26690334e-02
15.1400,2.26650456e-02
15.1600,2.26605477e-02
15.1800,2.26555453e-02
15.2000,2.26500440e-02
15.2200,2.26440492e-02
15.2400,2.26375664e-02
15.2600,2.26306012e-02
15.2800,2.26231588e-02
15.3000,2.26152447e-02
15.3200,2.26068642e-02
15.3400,2.25980225e-02
15.3600,2.25887250e-02
15.3800,2.25789767e-02
15.4000,2.25687829e-02
15.4200,2.25581487e-02
15.4400,2.25470792e-02
15.4600,2.25355793e-02
15.4800,2.25236543e-02
15.5000,2.25113089e-02
15.5200,2.24985482e-02
15.5400,2.24853770e-02
15.5600,2.24718001e-02
15.5800,2.24578225e-02
15.6000,2.24434489e-02
15.6200,2.24286841e-02
15.6400,2.24135327e-02
15.6600,2.23979994e-02
15.6800,2.23820889e-02
15.7000,2.23658057e-02
15.7200,2.23491544e-02
15.7400,2.23321396e-02
15.7600,2.23147658e-02
15.7800,2.22970374e-02
15.8000,2.22789587e-02
15.8200,2.22605343e-02
15.8400,2.22417685e-02
15.8600,2.22226655e-02
15.8800,2.22032297e-02
15.9000,2.21834652e-02
15.9200,2.21633764e-02
15.9400,2.21429674e-02
15.9600,2.21222424e-02
15.9800,2.21012054e-02
16.0000,2.20798605e-02
16.0200,2.20582118e-02
16.0400,2.20362633e-02
16.0600,2.20140190e-02
16.0800,2.19914828e-02
16.1000,2.19686586e-02
16.1200,2.19455504e-02
16.1400,2.19221618e-02
16.1600,2.18984969e-02
16.1800,2.18745593e-02
16.2000,2.18503529e-02
16.2200,2.18258813e-02
16.2400,2.18011482e-02
16.2600,2.17761573e-02
16.2800,2.17509122e-02
16.3000,2.17254165e-02
16.3200,2.16996739e-02
16.3400,2.16736877e-02
16.3600,2.16474616e-02
16.3800,2.16209989e-02
16.4000,2.15943033e-02
16.4200,2.15673780e-02
16.4400,2.15402265e-02
16.4600,2.15128520e-02
16.4800,2.14852581e-02
16.5000,2.14574479e-02
16.5200,2.14294247e-02
16.5400,2.14011918e-02
16.5600,2.13727523e-02
16.5800,2.13441096e-02
16.6000,2.13152666e-02
16.6200,2.12862267e-02
16.6400,2.12569928e-02
16.6600,2.12275680e-02
16.6800,2.11979554e-02
16.7000,2.11681581e-02
16.7200,2.11381789e-02
16.7400,2.11080210e-02
16.7600,2.10776871e-02
16.7800,2.10471803e-02
16.8000,2.10165034e-02
16.8200,2.09856593e-02
16.8400,2.09546509e-02
16.8600,2.09234808e-02
16.8800,2.08921520e-02
16.9000,2.08606672e-02
16.9200,2.08290291e-02
16.9400,2.07972404e-02
16.9600,2.07653038e-02
16.9800,2.07332220e-02
17.0000,2.07009976e-02
17.0200,2.06686332e-02
17.0400,2.06361314e-02
17.0600,2.06034948e-02
17.0800,2.05707259e-02
17.1000,2.05378272e-02
17.1200,2.05048013e-02
17.1400,2.04716505e-02
17.1600,2.04383773e-02
17.1800,2.04049842e-02
17.2000,2.03714736e-02
17.2200,2.03378478e-02
17.2400,2.03041091e-02
17.2600,2.02702600e-02
17.2800,2.02363026e-02
17.3000,2.02022394e-02
17.3200,2.01680726e-02
17.3400,2.01338043e-02
17.3600,2.00994369e-02
17.3800,2.00649725e-02
17.4000,2.00304134e-02
17.4200,1.99957616e-02
17.4400,1.99610193e-02
17.4600,1.99261886e-02
17.4800,1.98912716e-02
17.5000,1.98562704e-02
17.5200,1.98211871e-02
17.5400,1.97860236e-02
17.5600,1.97507820e-02
17.5800,1.97154642e-02
17.6000,1.96800723e-02
17.6200,1.96446082e-02
17.6400,1.96090738e-02
17.6600,1.95734711e-02
17.6800,1.95378019e-02
17.7000,1.95020681e-02
17.7200,1.94662716e-02
17.7400,1.94304142e-02
17.7600,1.93944977e-02
17.7800,1.93585239e-02
17.8000,1.93224947e-02
17.8200,1.92864116e-02
17.8400,1.92502766e-02
17.8600,1.92140914e-02
17.8800,1.91778575e-02
17.9000,1.91415768e-02
17.9200,1.91052510e-02
17.9400,1.90688815e-02
17.9600,1.90324702e-02
17.9800,1.89960186e-02
18.0000,1.89595283e-02
18.0200,1.89230009e-02
18.0400,1.88864380e-02
18.0600,1.88498411e-02
18.0800,1.88132118e-02
18.1000,1.87765516e-02
18.1200,1.87398619e-02
18.1400,1.87031444e-02
18.1600,1.86664004e-02
18.1800,1.86296314e-02
18.2000,1.85928388e-02
18.2200,1.85560241e-02
18.2400,1.85191887e-02
18.2600,1.84823339e-02
18.2800,1.84454612e-02
18.3000,1.84085719e-02
18.3200,1.83716673e-02
18.3400,1.83347488e-02
18.3600,1.82978177e-02
18.3800,1.82608753e-02
18.4000,1.82239229e-02
18.4200,1.81869617e-02
18.4400,1.81499931e-02
18.4600,1.81130182e-02
18.4800,1.80760383e-02
18.5000,1.80390546e-02
18.5200,1.80020684e-02
18.5400,1.79650807e-02
18.5600,1.79280928e-02
18.5800,1.78911058e-02
18.6000,1.78541209e-02
18.6200,1.78171392e-02
18.6400,1.77801618e-02
18.6600,1.77431899e-02
18.6800,1.77062245e-02
18.7000,1.76692667e-02
18.7200,1.76323176e-02
18.7400,1.75953782e-02
18.7600,1.75584496e-02
18.7800,1.75215329e-02
18.8000,1.74846289e-02
18.8200,1.74477388e-02
18.8400,1.74108635e-02
18.8600,1.73740040e-02
18.8800,1.73371612e-02
18.9000,1.73003362e-02
18.9200,1.72635299e-02
18.9400,1.72267432e-02
18.9600,1.71899771e-02
18.9800,1.71532323e-02
19.0000,1.71165099e-02
19.0200,1.70798108e-02
19.0400,1.70431357e-02
19.0600,1.70064856e-02
19.0800,1.69698614e-02
19.1000,1.69332638e-02
19.1200,1.68966937e-02
19.1400,1.68601519e-02
19.1600,1.68236393e-02
19.1800,1.67871566e-02
19.2000,1.67507046e-02
19.2200,1.67142841e-02
19.2400,1.66778959e-02
19.2600,1.66415408e-02
19.2800,1.66052194e-02
19.3000,1.65689325e-02
19.3200,1.65326809e-02
19.3400,1.64964652e-02
19.3600,1.64602863e-02
19.3800,1.64241447e-02
19.4000,1.63880411e-02
19.4200,1.63519763e-02
