element,point_id,t,E_pred_eV,E_KS_eV,Delta
Al,58,0.930550,-0.92046,-0.94682,0.028637
Al,58,0.930550,5.34943,5.34943,0.000000
Al,59,0.959840,-3.26294,-3.28781,0.007621
Al,59,0.959840,-1.33732,-1.38297,0.034134
Al,59,0.959840,5.32090,5.32090,0.000000
Al,60,0.985950,-3.03995,-3.04445,0.001480
Al,60,0.985950,-1.58464,-1.64845,0.040267
Al,60,0.985950,5.30833,5.30833,0.000000
Al,61,0.991030,-3.01811,-3.02004,0.000640
Al,61,0.991030,-1.60854,-1.67467,0.041113
Al,61,0.991030,5.30729,5.30729,0.000000
